player,mean_shap
2,3.686311253140847e-05
21,2.9625854512967992e-05
3,1.1967608352391196e-05
17,8.627862354076833e-06
8,7.437423565941905e-06
13,3.4666536790643427e-06
6,3.062554043668403e-06
16,1.9784361858202547e-06
23,-1.758546370613753e-06
26,-2.2327963548533215e-06
27,-6.382925531433049e-06
10,-6.593815564389864e-06
24,-6.848076288082932e-06
11,-8.427244764691175e-06
14,-9.850799924307143e-06
4,-1.017924000245762e-05
19,-1.54024845612585e-05
1,-1.835009090100532e-05
20,-1.855981960426477e-05
