XG,Time,Half,ball_x,ball_y,ball_z,ball_speed,us_1_x,us_1_y,us_1_speed,us_2_x,us_2_y,us_2_speed,us_3_x,us_3_y,us_3_speed,us_4_x,us_4_y,us_4_speed,us_5_x,us_5_y,us_5_speed,us_6_x,us_6_y,us_6_speed,us_7_x,us_7_y,us_7_speed,us_8_x,us_8_y,us_8_speed,us_9_x,us_9_y,us_9_speed,us_10_x,us_10_y,us_10_speed,us_11_x,us_11_y,us_11_speed,them_1_x,them_1_y,them_1_speed,them_2_x,them_2_y,them_2_speed,them_3_x,them_3_y,them_3_speed,them_4_x,them_4_y,them_4_speed,them_5_x,them_5_y,them_5_speed,them_6_x,them_6_y,them_6_speed,them_7_x,them_7_y,them_7_speed,them_8_x,them_8_y,them_8_speed,them_9_x,them_9_y,them_9_speed,them_10_x,them_10_y,them_10_speed,them_11_x,them_11_y,them_11_speed
0.03197580948472023,2055,1,37.01,12.56,1.98,3.66,37.2,13.27,0.19,41.77,16.35,2.48,38.85,6.3,1.54,43.91,4.27,1.31,44.19,1.72,0.2,29.22,2.0,2.02,25.61,5.64,1.78,33.98,-1.53,2.64,44.94,-9.49,1.49,29.25,-10.58,0.16,-18.5,1.25,0.78,38.36,12.13,1.16,35.06,6.8,2.55,42.94,10.46,1.07,42.86,8.43,0.89,40.74,6.15,0.64,45.76,5.44,1.28,42.34,0.93,1.27,46.08,1.08,0.66,50.92,2.6,0.5700000000000001,45.9,-2.79,0.38,38.88,-10.97,1.52
0.008036129176616669,2069,1,4.55,-4.36,0.38,2.73,5.17,-3.74,3.25,-2.5,-4.54,1.6,10.14,-10.19,1.72,4.57,3.99,1.85,8.49,13.12,1.4,-16.29,-4.2,1.29,25.63,-1.66,1.42,-16.1,0.9400000000000001,0.9,-0.46,22.27,1.22,-11.62,-26.49,1.84,-13.84,25.61,1.29,-0.8200000000000001,-7.49,1.08,-5.19,-1.91,2.02,1.97,9.62,2.77,-10.26,-11.63,1.12,-9.69,6.44,1.84,-4.36,11.14,0.74,-16.37,-6.66,1.01,-16.46,3.57,2.01,-15.68,-14.67,1.43,-15.33,17.65,1.6400000000000001,-36.75,-0.32,0.92
0.1406923085451126,3241,2,38.81,1.19,0.28,9.7,38.03,1.51,5.68,42.24,8.25,1.95,41.51,-9.04,0.29,48.38,-5.17,2.89,41.67,13.64,4.02,31.49,12.7,3.08,25.75,-4.53,3.35,50.87,13.0,2.43,20.97,9.61,3.56,35.81,24.16,1.53,-16.42,2.24,0.87,41.72,1.0,3.55,43.45,3.18,6.38,47.36,3.05,3.8,47.97,0.27,3.68,50.02,1.09,0.68,27.52,-4.51,3.81,39.52,13.92,1.65,50.25,11.05,2.43,24.04,8.52,2.33,42.3,17.79,2.5100000000000002,29.18,19.49,1.58
0.03932776302099228,3736,2,37.14,13.13,0.33,4.67,37.15,13.06,3.86,27.7,16.82,5.01,39.52,2.34,3.13,30.4,-0.92,3.15,39.97,-5.78,4.31,11.02,13.78,4.06,21.91,-9.51,5.85,7.6,9.16,4.57,-0.43,8.37,3.61,0.41000000000000003,-6.85,3.63,-31.15,1.41,1.59,39.27,10.74,2.21,37.3,8.61,4.14,35.04,5.95,4.97,41.16,3.45,3.18,37.32,1.1,3.79,25.52,8.54,5.57,24.36,15.22,5.7,48.28,3.25,0.07,40.3,-3.96,3.2,13.2,14.51,4.01,12.26,-3.25,5.16
0.03294634073972702,5399,2,39.88,-19.05,0.23,10.66,39.12,-18.9,2.85,40.02,-8.37,3.59,43.56,-7.89,4.11,35.1,-4.26,1.98,22.01,-16.12,3.3,39.85,1.83,3.48,21.87,-6.89,1.5,29.87,7.62,3.18,17.05,1.39,3.03,40.98,13.38,5.49,-17.42,-3.33,0.05,39.62,-11.88,3.35,42.93,-11.44,2.08,40.48,-7.72,4.4,43.37,-6.54,3.14,31.62,-8.85,3.19,39.07,-1.95,2.01,43.4,-0.6900000000000001,2.63,50.14,-3.14,0.89,23.36,-2.56,1.75,43.53,4.4,3.18,31.34,4.12,2.5100000000000002
0.02326332964003086,5429,2,30.32,9.78,0.36,8.55,30.5,10.36,2.74,29.11,13.0,2.02,35.14,12.34,2.25,26.09,14.69,3.5100000000000002,21.02,11.04,1.17,28.09,23.76,1.57,32.68,-6.05,1.51,10.21,2.26,0.76,12.8,-7.55,0.5,2.9,13.45,0.4,-27.74,2.12,1.03,32.55,11.92,5.62,33.79,5.9,0.66,26.74,18.05,0.41000000000000003,20.47,9.95,1.25,40.74,10.26,5.2,35.34,25.06,3.4,39.84,-4.91,2.77,14.02,0.92,1.02,48.56,1.85,1.11,4.06,12.97,1.07,33.87,-23.76,2.5
0.42174574732780457,284,1,42.48,-9.29,0.23,10.42,41.82,-9.32,7.31,38.13,-14.7,5.7,37.56,-0.14,7.2,31.71,-10.97,5.14,14.34,-6.25,3.08,19.93,-27.85,1.33,10.87,4.68,3.05,8.96,-18.55,3.19,4.25,-13.91,1.47,2.19,-8.68,1.36,-26.85,-2.17,1.44,40.76,-8.54,5.99,39.45,-8.84,4.9,47.74,-5.25,2.19,37.54,-14.6,6.11,37.63,0.51,7.93,30.34,-15.59,2.84,27.27,-8.96,2.64,6.71,-11.76,1.32,8.67,-25.11,1.26,7.27,3.74,1.4,15.39,17.5,4.63
0.19431063532829285,322,1,48.73,-2.18,0.23,8.06,48.23,-2.19,2.2,48.03,-3.85,0.30000000000000004,51.12,-4.22,1.96,47.39,3.2,3.62,48.96,5.74,0.19,53.86,-8.33,1.68,37.37,-0.26,2.84,26.39,-4.76,1.28,41.35,-29.31,4.51,4.62,-0.31,0.76,-22.03,-0.86,0.0,48.16,-3.09,0.41000000000000003,49.29,-1.03,1.44,50.42,-0.63,2.89,51.79,-3.49,1.59,51.37,0.9500000000000001,2.1,46.41,-6.24,0.30000000000000004,45.92,2.38,2.54,46.47,-7.93,0.31,50.76,-8.83,0.51,36.5,0.92,1.84,22.94,3.29,0.87
0.15988144278526306,1030,1,39.03,-11.17,0.23,14.04,38.7,-10.96,6.62,37.96,-0.41000000000000003,7.64,36.25,3.4,6.5,19.37,-7.09,3.5100000000000002,37.69,10.57,7.69,7.76,-0.03,3.56,4.14,-14.47,2.14,-2.39,-3.1,2.69,4.76,15.04,2.55,-3.3,4.67,1.94,-31.39,-0.81,1.08,38.79,-5.65,7.43,35.29,-3.6,6.32,46.98,-4.99,0.8300000000000001,28.9,-13.04,4.97,28.38,-7.07,4.25,28.11,0.19,4.37,37.64,4.77,7.5,21.2,2.11,4.13,6.27,-7.99,2.16,4.93,14.61,1.3,-5.1,1.03,1.74
0.09326676279306412,2850,2,35.7,-5.39,0.23,4.95,35.77,-4.83,2.23,37.11,-12.83,2.33,41.16,2.68,1.87,39.22,4.54,5.58,24.58,-2.22,3.15,41.05,13.25,0.89,16.0,-13.65,4.04,10.96,12.42,0.72,3.54,-4.83,1.32,2.06,1.3800000000000001,0.6000000000000001,-24.01,2.03,0.62,37.92,-4.66,2.65,38.21,-3.01,4.78,33.98,-1.73,3.97,40.98,-0.4,3.63,37.27,3.44,3.55,25.37,-4.2,3.28,39.52,5.27,3.32,47.94,-1.97,0.97,26.87,-15.7,4.56,4.21,-3.02,0.99,12.22,15.76,0.87
