XG,Time,Half,ball_x,ball_y,ball_z,ball_speed,us_1_x,us_1_y,us_1_speed,us_2_x,us_2_y,us_2_speed,us_3_x,us_3_y,us_3_speed,us_4_x,us_4_y,us_4_speed,us_5_x,us_5_y,us_5_speed,us_6_x,us_6_y,us_6_speed,us_7_x,us_7_y,us_7_speed,us_8_x,us_8_y,us_8_speed,us_9_x,us_9_y,us_9_speed,us_10_x,us_10_y,us_10_speed,us_11_x,us_11_y,us_11_speed,them_1_x,them_1_y,them_1_speed,them_2_x,them_2_y,them_2_speed,them_3_x,them_3_y,them_3_speed,them_4_x,them_4_y,them_4_speed,them_5_x,them_5_y,them_5_speed,them_6_x,them_6_y,them_6_speed,them_7_x,them_7_y,them_7_speed,them_8_x,them_8_y,them_8_speed,them_9_x,them_9_y,them_9_speed,them_10_x,them_10_y,them_10_speed,them_11_x,them_11_y,them_11_speed
0.030636975541710854,1431,1,32.66,-9.89,0.33,4.31,32.79,-10.63,3.23,33.58,-14.67,4.63,35.99,-15.22,5.34,28.35,-3.21,2.08,23.41,-16.51,2.23,35.11,-22.18,2.53,30.63,-26.46,5.45,19.17,5.35,3.43,9.88,-9.18,2.85,11.83,-22.73,1.91,-20.82,-4.24,1.43,32.52,-13.05,4.49,32.65,-6.48,2.25,36.5,-10.0,2.78,31.61,-14.48,4.7,36.62,-4.5,1.99,36.98,-15.35,5.93,35.13,3.13,1.61,16.35,-8.61,2.85,23.42,4.83,3.23,48.5,-2.06,0.58,18.81,-26.45,2.26
0.010763050988316536,1736,1,30.53,21.01,0.23,11.99,30.69,21.61,3.64,31.36,28.45,1.44,38.16,22.36,3.05,37.82,15.89,0.49,36.63,11.53,0.6900000000000001,18.42,19.06,2.8,27.47,7.79,3.34,22.23,9.11,1.65,15.48,-2.06,2.96,38.92,-8.39,5.39,-17.79,3.83,0.13,28.73,20.64,3.81,34.33,17.29,1.79,36.59,22.74,4.81,38.9,17.4,3.7600000000000002,22.88,11.46,3.04,35.41,9.33,0.56,38.4,6.17,1.23,31.63,2.62,2.56,48.08,2.43,0.71,39.75,-4.01,2.85,24.27,-6.35,3.15
0.03197580948472023,2055,1,33.08,13.93,0.87,3.07,33.98,13.95,3.82,39.11,18.69,3.16,36.74,6.34,1.9000000000000001,25.59,8.91,3.2,28.6,4.6,2.44,42.08,3.77,1.94,30.79,0.4,3.1,42.84,1.25,2.08,27.64,-9.81,2.47,42.92,-9.13,2.18,-17.09,1.48,1.41,32.6,11.0,4.69,36.16,12.94,2.53,41.33,11.45,2.55,40.77,8.21,2.45,38.8,5.82,2.21,43.33,5.29,2.56,40.57,-0.23,2.44,44.02,0.33,2.81,44.23,-3.89,2.74,50.73,1.98,0.6900000000000001,37.87,-9.23,2.18
0.008036129176616669,2069,1,19.4,-4.85,7.84,17.97,18.23,-4.67,1.72,18.1,0.96,1.49,3.49,-6.66,1.74,-3.92,-4.09,0.93,-3.58,1.83,1.52,12.03,-28.1,0.43,-8.13,-11.64,1.55,16.43,24.54,2.15,-7.2,11.25,1.49,1.54,20.94,1.03,-25.9,-2.68,0.13,19.32,-6.82,3.08,20.67,1.96,3.54,14.12,-12.13,3.43,20.14,-15.32,4.2,11.94,4.54,2.09,6.15,-3.88,1.39,1.85,-8.94,1.09,18.56,16.04,2.77,5.57,11.1,0.49,41.89,-1.28,5.31,-0.67,6.77,1.57
0.1406923085451126,3241,2,42.63,1.5,1.15,19.79,38.8,0.72,5.33,42.26,7.88,1.68,48.2,-5.69,2.5100000000000002,41.56,-9.06,0.23,41.84,12.86,3.94,50.82,12.51,2.48,31.49,12.09,3.08,26.34,-4.82,3.23,21.28,8.97,3.46,35.75,23.85,1.67,-16.28,2.12,0.98,43.51,1.95,5.88,41.18,0.59,3.18,47.38,2.36,3.01,47.78,-0.46,3.7600000000000002,50.07,0.9400000000000001,0.76,50.3,10.58,2.32,39.53,13.6,1.46,28.23,-4.8,3.78,42.34,17.29,2.55,24.15,8.05,2.5,29.24,19.19,1.46
0.04443466290831566,3455,2,49.28,-4.85,0.13,11.41,45.47,-14.42,4.99,20.23,-7.62,5.59,20.8,-16.45,4.04,16.22,-3.43,4.02,1.13,-9.49,3.98,1.79,-22.1,3.09,-3.48,10.65,2.64,-10.67,0.61,2.57,-7.49,-25.65,3.36,-10.85,-11.74,1.82,-33.98,-3.41,1.6400000000000001,49.54,-4.88,1.32,43.73,-5.78,5.79,45.06,-13.47,4.38,32.6,-15.96,4.04,24.9,5.64,4.29,18.08,-14.25,4.63,16.18,-17.21,5.77,13.67,-0.32,3.09,-2.11,-22.75,1.46,-7.82,2.01,3.12,-15.73,-22.9,1.59
0.03932776302099228,3736,2,39.12,9.57,0.6900000000000001,11.24,38.32,11.86,3.12,40.8,2.48,2.26,29.92,16.34,4.41,31.78,-1.04,2.56,41.92,-5.71,3.92,24.6,-9.2,5.35,12.91,13.44,3.91,9.62,8.53,4.21,1.23,8.17,3.34,2.09,-7.16,3.44,-30.43,1.26,1.55,39.8,10.09,1.12,38.76,8.29,2.53,36.9,7.13,4.09,42.6,3.65,2.86,38.89,1.39,2.84,48.3,3.01,1.0,27.96,7.7,5.33,26.95,14.58,5.43,41.88,-3.56,3.71,15.03,14.1,3.78,14.65,-3.54,4.85
0.4937378466129303,4509,2,47.66,-5.73,0.96,5.3,46.65,-4.64,2.56,49.86,-1.26,0.27,47.69,2.54,1.02,47.19,-19.86,1.4,33.28,-1.05,1.67,41.17,8.23,1.42,25.06,-13.39,2.0,28.49,10.69,2.9,17.49,-8.45,1.66,16.48,1.41,0.81,-17.4,-1.21,0.92,47.45,-5.54,5.0,45.83,-5.55,0.62,48.12,-7.69,3.34,48.0,-3.12,0.81,43.23,-1.6400000000000001,1.28,51.2,0.21,0.38,44.65,2.46,2.05,49.23,3.5,1.35,38.74,-12.54,4.24,31.55,1.42,1.6300000000000001,32.54,8.59,4.26
0.044844258576631546,4631,2,33.68,16.74,0.53,16.09,33.41,17.81,1.98,38.62,16.7,5.49,28.47,6.85,0.13,40.75,6.44,4.46,41.0,4.99,2.0,41.39,2.28,3.23,29.21,-0.19,0.12,40.73,-4.54,2.92,38.94,-11.16,0.49,14.0,-8.12,0.68,-15.88,-1.36,0.5,39.45,12.75,0.76,39.32,12.29,0.45,39.04,11.89,0.61,40.3,7.86,1.56,41.97,3.41,2.14,38.0,0.99,1.32,42.0,0.52,4.05,40.88,-1.35,2.92,41.19,-3.95,3.35,51.25,0.4,0.66,40.95,-6.42,3.09
0.029358340427279472,4655,2,43.64,8.66,0.99,6.65,38.12,11.11,3.33,50.97,4.63,1.2,48.87,-0.01,1.5,35.25,0.46,1.3800000000000001,49.8,-2.04,1.01,44.68,-4.49,1.33,47.17,-5.69,1.19,34.06,-5.55,0.8200000000000001,17.01,-4.19,0.9500000000000001,48.63,-30.84,3.99,-10.51,-4.38,0.09,45.85,6.05,4.1,43.75,0.96,3.15,49.82,1.93,2.34,48.76,0.66,1.08,52.04,2.1,1.32,46.48,-2.54,2.23,48.63,-2.49,0.09,51.11,-2.03,2.7600000000000002,46.04,-4.92,2.57,39.95,-5.34,3.01,47.4,-8.37,1.66
